text,category,created_at,resolved_at
Payment failed but money was deducted,billing,2026-01-07 14:00:00,2026-01-07 19:00:00
Invoice amount is incorrect,billing,2026-01-07 19:00:00,2026-01-08 07:00:00
Charged twice for same subscription,billing,2026-01-08 00:00:00,2026-01-08 20:00:00
Promo code did not apply at checkout,billing,2026-01-08 05:00:00,2026-01-09 11:00:00
Tax was calculated incorrectly,billing,2026-01-08 10:00:00,2026-01-10 10:00:00
Annual plan renewed without notice,billing,2026-01-08 15:00:00,2026-01-11 15:00:00
Refund still pending after 10 days,billing,2026-01-08 20:00:00,2026-01-13 20:00:00
Card declined despite sufficient balance,billing,2026-01-09 01:00:00,2026-01-09 03:00:00
Wrong currency shown on my invoice,billing,2026-01-09 06:00:00,2026-01-09 11:00:00
Discount disappeared after trial ended,billing,2026-01-09 11:00:00,2026-01-09 23:00:00
Proration credit missing after downgrade,billing,2026-01-09 16:00:00,2026-01-10 12:00:00
VAT ID was not accepted at checkout,billing,2026-01-09 21:00:00,2026-01-11 03:00:00
Subscription cancelled but still billed,billing,2026-01-10 02:00:00,2026-01-12 02:00:00
Payment method update keeps failing,billing,2026-01-10 07:00:00,2026-01-13 07:00:00
Receipt email has the wrong company name,billing,2026-01-10 12:00:00,2026-01-15 12:00:00
Seat count billed higher than active users,billing,2026-01-10 17:00:00,2026-01-10 19:00:00
Chargeback opened for unrecognized payment,billing,2026-01-10 22:00:00,2026-01-11 03:00:00
Invoice PDF is missing line items,billing,2026-01-11 03:00:00,2026-01-11 15:00:00
Auto-renew charged after cancellation request,billing,2026-01-11 08:00:00,2026-01-12 04:00:00
Wallet balance not applied to the order,billing,2026-01-11 13:00:00,2026-01-12 19:00:00
Partial refund never posted to my card,billing,2026-01-11 18:00:00,2026-01-13 18:00:00
Price increased mid-contract without consent,billing,2026-01-11 23:00:00,2026-01-14 23:00:00
Billing address cannot be edited,billing,2026-01-12 04:00:00,2026-01-17 04:00:00
Duplicate tax applied on international order,billing,2026-01-12 09:00:00,2026-01-12 11:00:00
Credits expired earlier than stated policy,billing,2026-01-12 14:00:00,2026-01-12 19:00:00
Delivery arrived two days late,shipping,2026-01-12 19:00:00,2026-01-13 07:00:00
Package marked delivered but missing,shipping,2026-01-13 00:00:00,2026-01-13 20:00:00
Wrong item shipped to my address,shipping,2026-01-13 05:00:00,2026-01-14 11:00:00
Tracking number never updated,shipping,2026-01-13 10:00:00,2026-01-15 10:00:00
Courier left package in rain,shipping,2026-01-13 15:00:00,2026-01-16 15:00:00
Address update not reflected in order,shipping,2026-01-13 20:00:00,2026-01-18 20:00:00
Express shipping took five days,shipping,2026-01-14 01:00:00,2026-01-14 03:00:00
Parcel damaged on arrival,shipping,2026-01-14 06:00:00,2026-01-14 11:00:00
Label created but package not picked up,shipping,2026-01-14 11:00:00,2026-01-14 23:00:00
Wrong warehouse fulfilled my order,shipping,2026-01-14 16:00:00,2026-01-15 12:00:00
Customs delay with no status update,shipping,2026-01-14 21:00:00,2026-01-16 03:00:00
Delivery attempted without doorbell ring,shipping,2026-01-15 02:00:00,2026-01-17 02:00:00
Returned to sender without my request,shipping,2026-01-15 07:00:00,2026-01-18 07:00:00
"Fragile sticker ignored, item broken",shipping,2026-01-15 12:00:00,2026-01-20 12:00:00
Split shipment arrived incomplete,shipping,2026-01-15 17:00:00,2026-01-15 19:00:00
Pickup point closed when I arrived,shipping,2026-01-15 22:00:00,2026-01-16 03:00:00
Driver refused to wait for signature,shipping,2026-01-16 03:00:00,2026-01-16 15:00:00
Box opened and resealed before delivery,shipping,2026-01-16 08:00:00,2026-01-17 04:00:00
Shipping estimate jumped after payment,shipping,2026-01-16 13:00:00,2026-01-17 19:00:00
Order stuck in transit for two weeks,shipping,2026-01-16 18:00:00,2026-01-18 18:00:00
Wrong size variant packed in the box,shipping,2026-01-16 23:00:00,2026-01-19 23:00:00
Missing accessories in the package,shipping,2026-01-17 04:00:00,2026-01-22 04:00:00
Overnight shipping delivered next week,shipping,2026-01-17 09:00:00,2026-01-17 11:00:00
Tracking shows delivered to wrong city,shipping,2026-01-17 14:00:00,2026-01-17 19:00:00
Carrier lost the package mid-route,shipping,2026-01-17 19:00:00,2026-01-18 07:00:00
Support agent was rude on call,service,2026-01-18 00:00:00,2026-01-18 20:00:00
Long hold time with no resolution,service,2026-01-18 05:00:00,2026-01-19 11:00:00
Refund request ignored for a week,service,2026-01-18 10:00:00,2026-01-20 10:00:00
Chat support disconnected repeatedly,service,2026-01-18 15:00:00,2026-01-21 15:00:00
Escalation ticket closed without fix,service,2026-01-18 20:00:00,2026-01-23 20:00:00
Agent promised callback but never called,service,2026-01-19 01:00:00,2026-01-19 03:00:00
Complaint marked resolved but issue remains,service,2026-01-19 06:00:00,2026-01-19 11:00:00
No response to priority support email,service,2026-01-19 11:00:00,2026-01-19 23:00:00
Ticket reassigned five times with no owner,service,2026-01-19 16:00:00,2026-01-20 12:00:00
Knowledge base article is outdated,service,2026-01-19 21:00:00,2026-01-21 03:00:00
Support refused to escalate to engineering,service,2026-01-20 02:00:00,2026-01-22 02:00:00
Agent asked me to repeat details three times,service,2026-01-20 07:00:00,2026-01-23 07:00:00
Case closed after automated reply only,service,2026-01-20 12:00:00,2026-01-25 12:00:00
Weekend support is unavailable despite plan,service,2026-01-20 17:00:00,2026-01-20 19:00:00
Chatbot loops and never opens a human ticket,service,2026-01-20 22:00:00,2026-01-21 03:00:00
Manager review promised but never scheduled,service,2026-01-21 03:00:00,2026-01-21 15:00:00
SLA breached with no apology or update,service,2026-01-21 08:00:00,2026-01-22 04:00:00
Agent shared incorrect troubleshooting steps,service,2026-01-21 13:00:00,2026-01-22 19:00:00
Phone menu has no option for billing help,service,2026-01-21 18:00:00,2026-01-23 18:00:00
Support language pack missing for my region,service,2026-01-21 23:00:00,2026-01-24 23:00:00
Follow-up email bounced from support alias,service,2026-01-22 04:00:00,2026-01-27 04:00:00
Priority queue still waited over four hours,service,2026-01-22 09:00:00,2026-01-22 11:00:00
Agent hung up during active troubleshooting,service,2026-01-22 14:00:00,2026-01-22 19:00:00
Community forum moderation ignored report,service,2026-01-22 19:00:00,2026-01-23 07:00:00
Onboarding specialist missed the scheduled call,service,2026-01-23 00:00:00,2026-01-23 20:00:00
